ticket_id,customer_id,created_at,error_code,raw_text,solution_text,status,handle_minutes
T20260724002,C004,2026-07-24 16:08,WEBHOOK_RETRY_EXCEEDED,我们接收商城webhook的地址这两天挂了，事件都没收到，能重推吗,,resolved,38
T20260725001,C007,2026-07-25 10:45,PRODUCT_REVIEW_AUDIT_FAIL,商品又被驳回，说图片有水印，我用的是自己拍的图啊,,resolved,14
T20260725002,C009,2026-07-25 13:30,STAT_DELAY,我看后台今日销售额显示5万，实际订单列表加起来才3万8，对不上,,resolved,22
T20260728001,C003,2026-07-28 09:15,PAY_CALLBACK_TIMEOUT,付款订单又卡待支付了，这一周第三次了，能不能彻底解决,,resolved,55
T20260728002,C001,2026-07-28 14:40,POINTS_DEDUCT_ERROR,有客户投诉下单扣了200积分退款后积分没退回来,,resolved,28
T20260729001,C005,2026-07-29 10:22,PROMO_STACK_CONFLICT,这两天价格算错了，满减和会员折扣叠一起了，客户少付了钱,,resolved,42
T20260729002,C008,2026-07-29 15:50,AUTH_TOKEN_EXPIRED,后台登录老掉线，一天要重登好几次，是不是哪里设置不对,,resolved,20
T20260730001,C010,2026-07-30 09:48,SHIP_CALLBACK_TIMEOUT,我点了发货客户那边说看不到已发货状态，催了,,resolved,16
T20260730002,C002,2026-07-30 14:12,FREIGHT_CALC_ERROR,满99包邮没生效，客户买了150块还收了运费,,resolved,25
T20260731001,C006,2026-07-31 11:05,ORDER_STATUS_SYNC_DELAY,发货后订单状态半小时还没变，客户来问,,resolved,19
T20260731002,C004,2026-07-31 16:33,API_SIGN_INVALID,换了新token还是签名错误，我们后端说按文档算的没错,,resolved,50
T20260801001,C007,2026-08-01 10:20,ORDER_CLOSE_FAIL,有个订单我关不掉，提示已部分发货，但我根本没发,,resolved,22
T20260801002,C009,2026-08-01 14:55,INVOICE_APPLY_FAIL,客户要开发票，我这边申请开票一直失败,,resolved,18
T20260804001,C003,2026-08-04 09:38,PAY_CALLBACK_TIMEOUT,待支付的单子越来越多，今天已经5个了,,resolved,60
T20260804002,C001,2026-08-04 13:25,SMS_SEND_FAIL,客户收不到验证码短信，今天好多人投诉,,resolved,30
T20260805001,C005,2026-08-05 10:48,COUPON_VERIFY_FAIL,秋季大促的券今天开始用不了了，流量正高峰，赶紧看下,,resolved,45
T20260805002,C006,2026-08-05 15:30,WAYBILL_FETCH_FAIL,昨天刚接入顺丰面单，今天就报获取失败，是不是没配置好,,resolved,33
T20260806001,C010,2026-08-06 09:12,LOGISTICS_TRACK_PUSH_FAIL,京东物流轨迹从昨晚到现在一直没更新,,resolved,24
T20260806002,C008,2026-08-06 14:45,SSO_LOGIN_FAIL,企微登录又不行了，昨天好用的，今天早上开始就报错,,resolved,38
T20260807001,C002,2026-08-07 11:20,ORDER_EXPORT_TIMEOUT,导出7月订单还是超时，5万多条是不是真导不了,,resolved,16
T20260807002,C004,2026-08-07 16:08,PRODUCT_STOCK_SYNC_FAIL,ERP库存和商城对不上，商城显示100件实际仓库只有60,,resolved,42
T20260808001,C007,2026-08-08 10:35,FILE_UPLOAD_FAIL,商品主图上传失败，提示文件错误，我图是正常的jpg啊,,resolved,10
T20260808002,C009,2026-08-08 13:50,DASHBOARD_LOAD_SLOW,后台首屏开半天出不来，点什么都慢,,resolved,20
T20260811001,C003,2026-08-11 09:20,PAY_CALLBACK_TIMEOUT,客户付款了还是待支付，这个问题能不能彻底根治,,resolved,58
T20260811002,C001,2026-08-11 14:35,PAY_DUPLICATE_REFUND,我刚才给两个订单退了款，商户后台看到退了4笔，怎么重复了,,resolved,35
T20260812001,C005,2026-08-12 10:15,PROMO_STACK_CONFLICT,满减券和新客折扣又叠一起了，一天错了8单,,resolved,48
T20260812002,C006,2026-08-12 15:42,ORDER_STOCK_DEDUCT_FAIL,卖爆了库存扣成负数，已经超卖20单了,,resolved,52
T20260813001,C010,2026-08-13 09:55,SHIP_CALLBACK_TIMEOUT,发货了客户在小程序里看不到，下拉刷新也不行,,resolved,18
T20260813002,C002,2026-08-13 14:28,MEMBER_LEVEL_SYNC_FAIL,有客户消费满了应该升金卡但等级没变,,resolved,26
T20260814001,C008,2026-08-14 11:10,AUTH_TOKEN_EXPIRED,子账号一天被踢下来好几次，是不是多人同时登了,,resolved,15
T20260814002,C004,2026-08-14 16:25,WEBHOOK_RETRY_EXCEEDED,webhook又失败了一批，我们服务今早重启过，能补推吗,,resolved,40
T20260815001,C007,2026-08-15 10:40,PRODUCT_SKU_SYNC_FAIL,ERP推过来的新SKU在商城里看不到,,resolved,22
T20260815002,C009,2026-08-15 13:18,REPORT_EXPORT_EMPTY,选了8月1号到14号导出还是空的,,resolved,14
T20260818001,C003,2026-08-18 09:30,PAY_CALLBACK_TIMEOUT,又来付款不更新订单的客户，都不想接这种单了,,resolved,45
T20260818002,C001,2026-08-18 14:55,PAY_WECHAT_SIGN_ERROR,升级到v4.2.1后微信支付报签名错误了,,resolved,42
T20260819001,C005,2026-08-19 10:22,COUPON_VERIFY_FAIL,大促券并发出问题，有客户抢到券用不了,,resolved,50
T20260819002,C006,2026-08-19 15:48,WAYBILL_FETCH_FAIL,顺丰面单今天又报错了，说是额度用完，昨天才200单,,resolved,28
T20260820001,C010,2026-08-20 09:42,LOGISTICS_TRACK_PUSH_FAIL,京东轨迹又停更了，这礼拜第三次,,resolved,26
T20260820002,C008,2026-08-20 14:15,SSO_LOGIN_FAIL,8月15号接入SSO后偶尔还是登录失败,,resolved,36
T20260821001,C002,2026-08-21 11:35,FREIGHT_CALC_ERROR,客户买了3件同一件商品运费只算了1件的,,resolved,24
T20260821002,C004,2026-08-21 16:05,API_SIGN_INVALID,9月1号要轮换token？现在提前准备一下,,resolved,20
T20260822001,C007,2026-08-22 10:50,ORDER_PRICE_CALC_ERROR,商品标99下单变成119，什么情况,,resolved,30
T20260822002,C009,2026-08-22 13:30,STAT_DELAY,今日销售额和订单列表对不上，差了4000多,,resolved,21
T20260825001,C003,2026-08-25 09:25,PAY_REFUND_FAIL,有个退款申请一周了还没成功，支付宝说没收到,,resolved,33
T20260825002,C001,2026-08-25 14:40,POINTS_DEDUCT_ERROR,积分扣减又出错，客户下单后积分没扣，白送了,,resolved,29
T20260826001,C005,2026-08-26 10:18,MEMBER_IMPORT_FAIL,我导了5000个会员进去报错了一半,,resolved,35
T20260826002,C006,2026-08-26 15:50,ORDER_STATUS_SYNC_DELAY,订单状态又延迟，半小时了还没变,,resolved,17
T20260827001,C010,2026-08-27 09:48,PRINT_TEMPLATE_ERROR,打快递单格式全错位，打印机不认,,resolved,23
T20260827002,C002,2026-08-27 14:22,PRODUCT_REVIEW_AUDIT_FAIL,新品审核驳回说详情页有极限词,,resolved,12
T20260828001,C008,2026-08-28 11:05,NOTICE_TEMPLATE_DISABLED,订单发货通知买家收不到了，是不是模板到期,,resolved,19
T20260828002,C004,2026-08-28 16:30,DATA_SYNC_INCOMPLETE,上个月从旧平台迁过来的商品少了200多个,,resolved,55
T20260829001,C007,2026-08-29 10:45,ORDER_SUBMIT_DUPLICATE,买家点一次下了两单，重复订单,,resolved,13
T20260829002,C009,2026-08-29 13:55,DASHBOARD_LOAD_SLOW,仪表盘最近越来越慢，要十几秒,,resolved,22
T20260901001,C003,2026-09-01 09:32,PAY_CALLBACK_TIMEOUT,token今天轮换了，付款回调又不行了,,resolved,52
T20260901002,C001,2026-09-01 14:18,API_SIGN_INVALID,token今天换了我们ERP调用报签名错误,,resolved,44
T20260902001,C005,2026-09-02 10:25,COUPON_VERIFY_FAIL,大促券又并发报错，高峰期10单里3单用不了,,resolved,47
T20260902002,C006,2026-09-02 15:40,LOGISTICS_TRACK_PUSH_FAIL,顺丰轨迹从昨天下午到现在没更新,,resolved,25
T20260903001,C010,2026-09-03 09:55,WAYBILL_FETCH_FAIL,京东面单今天打不出来,,resolved,21
T20260903002,C008,2026-09-03 14:30,AUTH_TOKEN_EXPIRED,登录态还是频繁掉，一天3次,,resolved,18
T20260904001,C002,2026-09-04 11:12,ORDER_EXPORT_TIMEOUT,导出8月订单还是超时,,resolved,15
T20260904002,C004,2026-09-04 16:20,WEBHOOK_RETRY_EXCEEDED,webhook地址换了一个，之前失败的事件能重放吗,,resolved,38
T20260905001,C007,2026-09-05 10:38,FILE_UPLOAD_FAIL,视频上传失败，50MB的视频,,resolved,9
T20260905002,C009,2026-09-05 13:45,INVOICE_APPLY_FAIL,客户开发票申请失败，税号没错啊,,resolved,20
T20260908001,C003,2026-09-08 09:20,PAY_CALLBACK_TIMEOUT,付款不更新订单这个问题老毛病又犯,,resolved,48
T20260908002,C001,2026-09-08 14:50,PAY_AMOUNT_MISMATCH,有客户实付比订单少了20块，用了券之后算错了,,resolved,35
T20260909001,C005,2026-09-09 10:15,PROMO_STACK_CONFLICT,秋季大促活动结束了但价格还是叠加，赶紧停掉,,resolved,40
T20260909002,C006,2026-09-09 15:35,ORDER_STOCK_DEDUCT_FAIL,库存又变负的，超卖5单,,resolved,45
T20260910001,C010,2026-09-10 09:42,SHIP_CALLBACK_TIMEOUT,发货状态客户端又看不到,,resolved,17
T20260910002,C002,2026-09-10 14:25,MEMBER_TAG_SYNC_FAIL,CDP推过来的会员标签在商城里没生效,,resolved,30
T20260911001,C008,2026-09-11 11:08,SSO_LOGIN_FAIL,新员工用企微扫码登录不了,,resolved,26
T20260911002,C004,2026-09-11 16:15,PRODUCT_STOCK_SYNC_FAIL,库存同步又对不上，差了80件,,resolved,43
T20260912001,C007,2026-09-12 10:30,ORDER_CLOSE_FAIL,订单关不掉，库存也没回来,,resolved,24
T20260912002,C009,2026-09-12 13:50,REPORT_EXPORT_EMPTY,导出9月报表还是空的，不是说T+1吗,,resolved,16
T20260715004,C004,2026-07-15 11:30,WEBHOOK_RETRY_EXCEEDED,webhook连续失败好几天了,,resolved,28
T20260716003,C008,2026-07-16 14:20,PAY_WECHAT_SIGN_ERROR,微信支付签名错误客户付不了款,,resolved,32
T20260717003,C001,2026-07-17 10:50,POINTS_DEDUCT_ERROR,积分扣了但订单没成立,,resolved,26
T20260718003,C005,2026-07-18 16:10,COUPON_VERIFY_FAIL,券用不了客户在群里骂,,resolved,35
T20260721003,C006,2026-07-21 13:45,ORDER_STATUS_SYNC_DELAY,订单状态同步又慢了,,resolved,18
T20260722003,C010,2026-07-22 09:30,LOGISTICS_TRACK_PUSH_FAIL,物流轨迹不更新客户催,,resolved,22
T20260723003,C002,2026-07-23 16:05,ORDER_EXPORT_TIMEOUT,导出报表失败,,resolved,14
T20260724003,C007,2026-07-24 11:40,PRODUCT_REVIEW_AUDIT_FAIL,商品审核驳回,,resolved,11
T20260725003,C009,2026-07-25 15:20,STAT_DELAY,数据对不上,,resolved,19
T20260728003,C003,2026-07-28 16:30,PAY_CALLBACK_TIMEOUT,付款不更新,,resolved,40
T20260729003,C004,2026-07-29 11:15,API_SIGN_INVALID,接口签名报错,,resolved,38
T20260730003,C008,2026-07-30 14:55,AUTH_TOKEN_EXPIRED,频繁掉线,,resolved,16
T20260731003,C001,2026-07-31 09:45,PAY_DUPLICATE_REFUND,退款重复了,,resolved,30
T20260801003,C005,2026-08-01 15:35,PROMO_STACK_CONFLICT,活动叠加,,resolved,42
T20260804003,C006,2026-08-04 11:20,WAYBILL_FETCH_FAIL,面单打不出,,resolved,25
T20260805003,C010,2026-08-05 14:48,SHIP_CALLBACK_TIMEOUT,发货状态不更新,,resolved,19
T20260806003,C002,2026-08-06 10:30,FREIGHT_CALC_ERROR,运费算错,,resolved,23
T20260807003,C007,2026-08-07 16:15,FILE_UPLOAD_FAIL,图片上传失败,,resolved,10
T20260808003,C009,2026-08-08 11:50,INVOICE_APPLY_FAIL,发票开不出,,resolved,17
T20260811003,C003,2026-08-11 15:40,PAY_CALLBACK_TIMEOUT,老问题,,resolved,44
T20260812003,C004,2026-08-12 09:25,WEBHOOK_RETRY_EXCEEDED,webhook挂了,,resolved,35
T20260813003,C008,2026-08-13 14:50,SSO_LOGIN_FAIL,SSO登录失败,,resolved,30
T20260814003,C001,2026-08-14 16:35,PAY_WECHAT_SIGN_ERROR,签名错误,,resolved,38
T20260815003,C005,2026-08-15 10:40,COUPON_VERIFY_FAIL,券用不了,,resolved,33
T20260818003,C006,2026-08-18 14:25,ORDER_STOCK_DEDUCT_FAIL,库存负了,,resolved,40
T20260819003,C010,2026-08-19 09:55,LOGISTICS_TRACK_PUSH_FAIL,轨迹不更新,,resolved,24
T20260820003,C002,2026-08-20 16:10,ORDER_EXPORT_TIMEOUT,导出超时,,resolved,15
T20260821003,C007,2026-08-21 11:30,ORDER_PRICE_CALC_ERROR,价格不对,,resolved,28
T20260822003,C009,2026-08-22 14:45,DASHBOARD_LOAD_SLOW,仪表盘慢,,resolved,20
T20260825003,C003,2026-08-25 15:55,PAY_REFUND_FAIL,退款失败,,resolved,32
T20260826003,C004,2026-08-26 10:20,API_SIGN_INVALID,签名又错,,resolved,41
T20260827003,C008,2026-08-27 14:35,AUTH_TOKEN_EXPIRED,掉线,,resolved,17
T20260828003,C001,2026-08-28 11:10,POINTS_DEDUCT_ERROR,积分没退,,resolved,27
T20260829003,C005,2026-08-29 16:25,MEMBER_IMPORT_FAIL,会员导入失败,,resolved,33
T20260901003,C006,2026-09-01 14:40,ORDER_STATUS_SYNC_DELAY,状态延迟,,resolved,18
T20260902003,C010,2026-09-02 11:05,PRINT_TEMPLATE_ERROR,打印错位,,resolved,22
T20260903003,C002,2026-09-03 15:50,MEMBER_LEVEL_SYNC_FAIL,等级没变,,resolved,25
T20260904003,C007,2026-09-04 10:35,PRODUCT_SKU_SYNC_FAIL,SKU不同步,,resolved,21
T20260905003,C009,2026-09-05 14:15,REPORT_EXPORT_EMPTY,报表空,,resolved,13
T20260908003,C003,2026-09-08 16:20,PAY_CALLBACK_TIMEOUT,还是不更新,,resolved,46
T20260909003,C004,2026-09-09 09:50,PRODUCT_STOCK_SYNC_FAIL,库存对不上,,resolved,40
T20260910003,C008,2026-09-10 14:30,NOTICE_TEMPLATE_DISABLED,通知收不到,,resolved,18
T20260911003,C001,2026-09-11 11:45,PAY_AMOUNT_MISMATCH,金额不对,,resolved,34
T20260912003,C005,2026-09-12 15:25,PROMO_STACK_CONFLICT,价格又错,,resolved,39
T20260715005,C002,2026-07-15 15:30,,请问怎么批量改商品库存啊？我找了半天没找到入口,,resolved,15
T20260716004,C007,2026-07-16 13:45,,小程序的分享海报怎么设置？,,resolved,12
T20260718004,C009,2026-07-18 10:20,,子账号怎么开通查看订单的权限？,,resolved,10
T20260722004,C001,2026-07-22 16:00,,想把订单导出成Excel在哪里导？,,resolved,8
T20260725004,C005,2026-07-25 11:15,,满减活动怎么创建？第一次用,,resolved,18
T20260729004,C010,2026-07-29 14:50,,运费模板怎么按地区设置不同价格？,,resolved,20
T20260801004,C006,2026-08-01 09:40,,新员工账号怎么开？需要什么权限,,resolved,11
T20260805004,C003,2026-08-05 13:30,,店铺首页的轮播图尺寸是多少？,,resolved,7
T20260808004,C004,2026-08-08 15:45,,开放平台的接口文档在哪？我们开发要对接,,resolved,14
T20260812004,C008,2026-08-12 10:25,,企业微信通知怎么绑定？,,resolved,16
T20260815004,C002,2026-08-15 14:10,,赠品怎么设置？满额赠,,resolved,19
T20260819004,C007,2026-08-19 11:35,,商品分类怎么排序？,,resolved,9
T20260822004,C009,2026-08-22 16:00,,会员积分规则在哪里改？,,resolved,13
T20260826004,C001,2026-08-26 09:50,,想做个拼团活动，怎么配置？,,resolved,22
T20260829004,C005,2026-08-29 14:30,,订单怎么打印发货单？,,resolved,12
T20260902004,C010,2026-09-02 10:15,,短信签名怎么报备？,,resolved,25
T20260905004,C006,2026-09-05 15:55,,想对接ERP，要走什么流程？,,resolved,30
T20260909004,C003,2026-09-09 13:40,,新店装修有没有教程？,,resolved,10
T20260912004,C004,2026-09-12 11:20,,数据备份怎么弄？,,resolved,18
T20260911004,C001,2026-09-11 10:20,ORDER_CLOSE_FAIL,一个取消的订单怎么都关不掉，库存也不还,,resolved,26
T20260911005,C006,2026-09-11 11:45,PAY_DUPLICATE_REFUND,退款又退重了，客户收到两笔,,resolved,33
T20260911006,C008,2026-09-11 13:10,MEMBER_LEVEL_SYNC_FAIL,老客户消费满了还是没升钻石会员,,resolved,24
T20260911007,C001,2026-09-11 14:35,PRODUCT_SKU_SYNC_FAIL,ERP新推的SKU在商城搜不到,,resolved,23
T20260911008,C010,2026-09-11 15:50,PAY_REFUND_FAIL,客户退款一周了支付宝那边说没收到钱,,resolved,31
T20260911009,C008,2026-09-11 16:40,MEMBER_IMPORT_FAIL,导会员又报错，说是手机号重复,,resolved,28
T20260911010,C001,2026-09-11 09:15,PRINT_TEMPLATE_ERROR,打发货单格式又乱了，浏览器不是100%啊,,resolved,19
T20260911011,C005,2026-09-11 10:55,NOTICE_TEMPLATE_DISABLED,买家说收不到发货通知短信了,,resolved,17
T20260911012,C003,2026-09-11 14:25,PAY_AMOUNT_MISMATCH,客户用了券之后实付比应付少了30,,resolved,36
T20260911013,C002,2026-09-11 15:40,SMS_SEND_FAIL,验证码又收不到了，今天5个客户反馈,,resolved,29
T20260911014,C008,2026-09-11 16:20,SMS_SEND_FAIL,短信通道余额是不是没了？,,resolved,15
T20260911015,C001,2026-09-11 09:50,DATA_SYNC_INCOMPLETE,上次迁移的商品还是少了一批,,resolved,48
T20260912005,C009,2026-09-12 10:30,DATA_SYNC_INCOMPLETE,从老系统迁过来的订单对不上数,,resolved,42
T20260912006,C002,2026-09-12 11:15,ORDER_SUBMIT_DUPLICATE,客户又点出两笔重复订单,,resolved,14
T20260912007,C007,2026-09-12 13:40,ORDER_SUBMIT_DUPLICATE,重复下单这个月第三次了,,resolved,16
T20260912008,C001,2026-09-12 14:55,MEMBER_TAG_SYNC_FAIL,CDP推的"高价值"标签在商城里没显示,,resolved,27
T20260912009,C005,2026-09-12 15:30,MEMBER_TAG_SYNC_FAIL,会员标签同步又是0,,resolved,25
T20260912010,C002,2026-09-12 16:10,PAY_ALIPAY_NOTIFY_FAIL,支付宝付了钱订单没更新,,resolved,38
T20260912011,C009,2026-09-12 10:05,PAY_ALIPAY_NOTIFY_FAIL,异步通知是不是又验签失败了,,resolved,35
T20260912012,C001,2026-09-12 11:50,PAY_ALIPAY_NOTIFY_FAIL,支付宝通知三天没收到了,,resolved,40
T20260912013,C003,2026-09-12 14:20,PAY_CALLBACK_TIMEOUT,付款不更新又来,,resolved,47
T20260912014,C005,2026-09-12 15:45,COUPON_VERIFY_FAIL,券高峰又用不了,,resolved,44
T20260912015,C010,2026-09-12 16:30,LOGISTICS_TRACK_PUSH_FAIL,京东轨迹又停,,resolved,23
T20260912016,C004,2026-09-12 09:40,API_SIGN_INVALID,我们开发说签名还是不对,,resolved,43
T20260912017,C006,2026-09-12 10:55,ORDER_STOCK_DEDUCT_FAIL,库存又超卖,,resolved,44
T20260912018,C008,2026-09-12 13:25,AUTH_TOKEN_EXPIRED,还是频繁掉线,,resolved,16
T20260912019,C002,2026-09-12 14:40,ORDER_EXPORT_TIMEOUT,导出还是超时,,resolved,14
T20260912020,C001,2026-09-12 15:55,POINTS_DEDUCT_ERROR,积分又没回补,,resolved,28
T20260913001,C003,2026-09-13 09:10,PAY_CALLBACK_TIMEOUT,周一早上又来付款不更新,,resolved,45
T20260913002,C005,2026-09-13 10:25,PROMO_STACK_CONFLICT,活动价格还在叠加,,resolved,38
T20260913003,C010,2026-09-13 11:40,WAYBILL_FETCH_FAIL,京东面单又打不出,,resolved,22
T20260913004,C008,2026-09-13 13:15,SSO_LOGIN_FAIL,新同事企微登录不了,,resolved,25
T20260913005,C004,2026-09-13 14:30,WEBHOOK_RETRY_EXCEEDED,webhook又失败一批,,resolved,36
T20260913006,C006,2026-09-13 15:45,SHIP_CALLBACK_TIMEOUT,发货状态客户端还是看不到,,resolved,17
T20260913007,C002,2026-09-13 16:20,FREIGHT_CALC_ERROR,满包邮又没生效,,resolved,24
T20260913008,C001,2026-09-13 09:35,PRODUCT_STOCK_SYNC_FAIL,库存同步又差了,,resolved,39
T20260913009,C009,2026-09-13 10:50,STAT_DELAY,数据还是对不上,,resolved,20
T20260913010,C003,2026-09-13 11:30,,满减包邮规则怎么改？,,resolved,12
T20260913011,C005,2026-09-13 13:45,,优惠券能不能批量发给指定客户,,resolved,15
T20260913012,C010,2026-09-13 14:20,,物流单号怎么批量导出来,,resolved,11
T20260913013,C008,2026-09-13 15:10,,子账号权限能不能复制给新人,,resolved,13
T20260913014,C004,2026-09-13 16:00,,API调用一天最多多少次,,resolved,9
T20260913015,C006,2026-09-13 09:25,,生鲜商品保质期提醒怎么设,,resolved,18
T20260913016,C007,2026-09-13 10:40,,一个店能绑几个微信商户号,,resolved,8
T20260913017,C009,2026-09-13 11:55,,报表能不能每天发我邮箱,,resolved,14
T20260913018,C002,2026-09-13 13:30,,商品怎么批量上下架,,resolved,16
T20260913019,C001,2026-09-13 14:45,,积分商城怎么开通,,resolved,19
T20260913020,C005,2026-09-13 15:35,,买家秀审核在哪里弄,,resolved,12
T20260913021,C010,2026-09-13 16:10,,客户拒收退回怎么操作,,resolved,21
