code,name,meaning,trigger_condition,known_causes,solution,related_versions
ORDER_PRICE_CALC_ERROR,订单金额计算错误,商品标价与下单金额不一致,价格计算链路出现异常,"1.会员等级折扣叠加了优惠券;2.运费模板按件/按重量算错;3.改价后未重新计算","1.拉订单价格明细看每一项;2.检查会员折扣与优惠券是否叠加(v4.2 修复了叠加规则);3.运费模板若按重量,确认商品重量字段已填;4.线下多退少补","v4.2.0+"
ORDER_SUBMIT_DUPLICATE,重复下单,买家一次点击生成两笔订单,提交接口并发两次,"1.前端按钮未防抖;2.网络重试;3.买家连点","1.保留其中一笔,另一笔直接关单;2.提醒买家不要连点;3.前端已在 v4.2.1 加防抖,升级后不再出现","v4.0-v4.2.0"
LOGISTICS_TRACK_PUSH_FAIL,物流轨迹推送失败,物流商已揽件但商城后台看不到轨迹,轨迹回调到达失败,"1.物流商密钥过期;2.回调地址变更;3.物流商接口限流","1.在「物流-物流账号」核对该物流商密钥;2.v4.2 后物流回调路径变更为 /api/v2/logistics/callback,需在物流商后台更新;3.单条订单在详情页点「刷新轨迹」","v4.1.0+"
WAYBILL_FETCH_FAIL,电子面单获取失败,下单后无法打印电子面单,调用物流商面单接口失败,"1.未签约该物流商电子面单服务;2.发货地址未配置;3.面单号当日额度用完","1.确认已在物流商后台开通电子面单;2.在「物流-发货地址」配置默认发货地址;3.顺丰/京东面单有日单量上限,超限联系物流商提额;4.未接入电子面单的店铺请用普通面单","全版本"
SHIP_CALLBACK_TIMEOUT,发货回调超时,商家后台点了发货但买家端未看到已发货,发货回调推送买家端超时,"1.小程序/APP 推送通道故障;2.买家端缓存;3.消息队列积压","1.后台订单状态确认为「已发货」即已生效;2.让买家下拉刷新或重新进入订单详情;3.若超过 30 分钟仍未更新,提交运维查 MQ","v4.1.5+"
FREIGHT_CALC_ERROR,运费计算错误,满包邮/阶梯运费规则未生效,结算页运费金额异常,"1.运费优先级配置错误;2.商品未加运费模板;3.满包邮门槛与商品金额计算口径不一致","1.在「物流-运费模板」检查该商品绑定的模板;2.确认满包邮门槛按「商品总额」还是「实付金额」;3.设置优先级:单品模板>分组模板>默认模板;4.清除购物车重算","全版本"
COUPON_VERIFY_FAIL,优惠券核销失败,下单时显示可用优惠券但结算时报错,核销接口返回错误,"1.优惠券已被其他订单占用;2.优惠门槛未达;3.同一活动限领规则冲突","1.查该优惠券「领取记录」看是否已被该买家领取多次;2.核对门槛(满减/件数/品类);3.秋季大促期间券量紧张,建议客服手动发券补偿;4.v4.2.1 修复了同码券并发占用问题","v4.2.0+"
PROMO_STACK_CONFLICT,活动叠加冲突,两个活动同时生效导致价格异常,活动引擎计算冲突,"1.满减与折扣同时开启;2.新客活动与会员活动叠加;3.活动时间重叠","1.在「营销-活动列表」查该时段生效的活动;2.同一商品同时只能有一个主活动生效(v4.2 规则);3.临时关闭冲突活动;4.已产生的异常订单线下退差价","v4.2.0+"
POINTS_DEDUCT_ERROR,积分扣减异常,买家下单后积分未扣或扣成负数,积分扣减事务失败,"1.积分账户与订单事务不一致;2.退款后积分未回补;3.积分过期批量处理冲突","1.在「会员-积分明细」查该买家积分流水;2.漏扣的后台手动补扣;3.退款未回补的手动加回;4.v4.1.8 起改为事务保证,老版本偶发","v4.0-v4.1.7"
MEMBER_LEVEL_SYNC_FAIL,会员等级同步失败,买家满足升级条件但等级未变更,等级任务计算后未触发变更,"1.等级规则修改后未重算历史;2.订单确认收货后才累计,买家误以为下单即升级;3.异步任务延迟","1.在「会员-等级规则」确认门槛;2.等级在订单确认收货 T+7 才累计;3.手动在会员详情点「重新计算等级」;4.大促后批量重算可能延迟到次日","全版本"
AUTH_TOKEN_EXPIRED,登录态频繁过期,商家后台频繁要求重新登录,token 有效期异常,"1.多端同时登录被踢;2.token 有效期被改短;3.SSO 会话超时设置过短;4.同一账号在多个浏览器登录","1.确认是否多人共用一个账号;2.默认 token 有效期 7 天,v4.2 后可在「设置-安全」配置最长 30 天;3.SSO 接入的店铺需在企微后台配置会话时长;4.不要在多个浏览器同时登录同一账号","v4.2.0+"
API_SIGN_INVALID,API 签名校验失败,第三方调用开放接口报签名错误,签名校验未通过,"1.API token 轮换后未更新;2.签名算法用了 MD5 而非 HMAC-SHA256;3.时间戳偏移超过 5 分钟;4.参数未按字典序排序","1.确认使用的是最新 token(2026-09-01 轮换过);2.签名算法必须 HMAC-SHA256,不要再用旧文档的 MD5;3.服务器时间校准;4.参数按 ASCII 字典序排序后拼接;5.参考开放平台「签名调试工具」","v4.2.0+"
WEBHOOK_RETRY_EXCEEDED,Webhook 重试超限,商城推送事件到第三方失败,连续重试 8 次后放弃,"1.第三方接收地址不可用;2.第三方返回非 2xx;3.地址变更后未在后台更新","1.让第三方确认接收服务在线;2.在「开放平台-Webhook」查看失败原因和响应码;3.修正地址后可手动重推;4.连续失败的事件不会自动补推,需调用「事件重放」接口","全版本"
PERMISSION_DENIED_MODULE,无权限访问模块,子账号访问某模块提示无权限,权限校验未通过,"1.子账号角色未分配该模块;2.套餐未购买该模块;3.数据权限仅允许看本部门","1.主账号在「设置-子账号」检查角色;2.确认店铺套餐是否包含该模块(如物流模块专业版以上);3.数据权限按部门隔离,需要跨部门请开通数据权限","全版本"
SSO_LOGIN_FAIL,SSO 单点登录失败,企微/钉钉扫码登录后台报错,SSO 回调失败,"1.企微后台未配置商城回调地址;2.企业 CorpID/Secret 填错;3.域名变更后未更新可信域名","1.核对企微后台「应用管理」里的商城应用配置;2.v4.2.1 后回调地址为 /api/v2/sso/wecom/callback;3.可信域名必须是已备案域名;4.新接入的店铺需重新发布应用","v4.2.0+"
REPORT_EXPORT_EMPTY,报表导出数据为空,导出经营报表显示 0 条数据,导出任务完成但文件无数据,"1.时间范围内本就无数据;2.筛选条件互斥;3.数据延迟未到 T+1","1.经营报表数据 T+1 更新,当天数据看不到;2.检查筛选条件(支付时间 vs 下单时间);3.切换时间范围到昨天以前;4.实时数据看「仪表盘」","全版本"
STAT_DELAY,数据统计延迟,今日订单/销售额与实际不符,统计聚合任务延迟,"1.凌晨聚合任务重跑;2.大促期间延迟到 T+1 中午;3.统计口径变更","1.经营数据看 T+1 聚合值;2.实时数据以「订单列表」实际订单为准;3.差异在大促后 3 个工作日内会修正;4.不要用仪表盘数据对账,以订单列表为准","全版本"
DASHBOARD_LOAD_SLOW,仪表盘加载慢,商家后台首屏仪表盘超过 10 秒才出数据,仪表盘接口响应慢,"1.店铺数据量大;2.一次加载了多个图表;3.慢查询未优化","1.在「设置-个性化」关掉不看的图表;2.时间范围选最近 7 天而非最近 90 天;3.v4.2.1 起仪表盘改为懒加载,升级后改善;4.企业版可联系运维开查询缓存","v4.2.0+"
DATA_SYNC_INCOMPLETE,历史数据迁移不完整,从旧平台迁入后部分订单/商品缺失,迁移任务完成但有遗漏,"1.旧平台字段映射缺失;2.迁移时旧平台接口限流;3.测试数据未过滤","1.在「设置-数据迁移」查看迁移报告,看遗漏清单;2.按遗漏清单重新跑增量迁移;3.缺失订单需联系旧平台导出 CSV 手动补;4.迁移后一周内每天核对订单总数","v4.1.0+"
PRODUCT_SKU_SYNC_FAIL,商品 SKU 同步失败,ERP 同步商品后 SKU 未更新,ERP 接口推送失败,"1.SKU 编码重复;2.规格值超长;3.ERP 字段映射错误","1.在「商品-同步记录」看失败原因;2.SKU 编码必须唯一,重复的先改;3.规格值不超过 20 字符;4.重新推送单条商品验证","全版本"
PRODUCT_STOCK_SYNC_FAIL,商品库存同步失败,ERP 库存与商城不一致,库存同步任务失败,"1.ERP 未推送库存变更;2.多仓库存映射错误;3.商品在商城已删除但 ERP 仍推送","1.在「商品-库存同步」查看最近一次同步时间;2.确认多仓映射关系;3.商城已删除的商品在 ERP 侧停用,不要硬推;4.触发手动全量同步","全版本"
PRODUCT_REVIEW_AUDIT_FAIL,商品审核驳回,新建商品提交审核后被驳回,平台内容审核未过,"1.标题含违禁词;2.图片含第三方平台水印;3.品类资质未上传","1.审核驳回理由在「商品-审核记录」;2.标题/详情去掉最/第一/纯天然等极限词;3.图片去除淘宝/京东水印;4.食品/美妆品类需上传资质","全版本"
MEMBER_IMPORT_FAIL,会员导入失败,批量导入会员时报错,导入接口失败,"1.模板列名不符;2.手机号格式错误;3.重复会员已存在","1.下载最新导入模板(v4.2 更新过列名);2.手机号 11 位且去空格;3.已存在会员选择「更新」而非「新增」;4.单次不超过 5000 条,分批导","v4.2.0+"
MEMBER_TAG_SYNC_FAIL,会员标签同步失败,CDP/CRM 推送的标签未生效,标签同步失败,"1.标签 ID 不存在;2.标签值类型不匹配;3.接口限流","1.在「会员-标签管理」确认标签已创建;2.标签值类型(文本/数字/枚举)与推送一致;3.大批量推送走异步接口;4.失败记录在「同步日志」","全版本"
SMS_SEND_FAIL,短信发送失败,验证码/通知短信买家收不到,短信网关返回错误,"1.短信通道签名未报备;2.模板内容与报备不一致;3.买家手机号被运营商拦截;4.短信余额不足","1.在「设置-短信」核对签名和模板报备;2.模板内容必须与报备一字不差;3.查短信通道余额;4.个别手机号收不到多为运营商拦截,让买家检查骚扰拦截","全版本"
PUSH_NOT_RECEIVED,模板消息收不到,订单状态变更后买家微信收不到服务通知,微信模板消息推送失败,"1.买家未授权公众号;2.模板 ID 变更;3.订阅消息一次性授权已用完","1.订单状态通知走「订阅消息」,买家每次下单后需授权一次;2.v4.2 后模板 ID 统一更新,在公众号后台同步;3.老模板停用后新模板需重新发布","v4.2.0+"
NOTICE_TEMPLATE_DISABLED,通知模板被停用,某类通知突然不再发送,模板被平台下线,"1.微信/支付宝平台下线了旧模板;2.店铺模板到期;3.合规审核未过","1.在「设置-通知模板」看哪些模板状态为「已停用」;2.按推荐重新选用新模板;3.替换后测试一笔订单验证;4.不要等通知停了才发现","全版本"
FILE_UPLOAD_FAIL,文件上传失败,上传商品图片/附件时报错,OSS 上传失败,"1.文件超过大小限制(商品图 5MB);2.格式不支持;3.OSS Bucket 配额满","1.商品主图不超过 5MB,支持 jpg/png/webp;2.视频不超过 50MB;3.联系运维确认 OSS 配额;4.大图先压缩再传","全版本"
PRINT_TEMPLATE_ERROR,打印模板错乱,打印快递单/发货单格式错位,打印模板渲染异常,"1.浏览器缩放不是 100%;2.模板自定义字段错位;3.打印机驱动不兼容","1.浏览器缩放调回 100%;2.用 Chrome 浏览器打印;3.模板在「物流-打印模板」恢复默认;4.标签纸尺寸需在打印预览里选对","全版本"
INVOICE_APPLY_FAIL,发票申请失败,买家申请发票后店铺收不到或开票失败,发票接口返回错误,"1.店铺未配置开票信息;2.税号错误;3.订单金额为 0 无法开票;4.电子发票通道额度用完","1.在「财务-发票」配置店铺开票主体和税号;2.买家抬头税号让买家核对;3.0 元单/赠品单不能开票;4.电子发票额度不足联系税务服务商充值","全版本"
